58,2^1 * 29^1,"(3, 7)"
59,59^1,"Cannot be represented"
60,2^2 * 3^1 * 5^1,"Cannot be represented"
61,61^1,"(6, 5)"
62,2^1 * 31^1,"Cannot be represented"
63,3^2 * 7^1,"Cannot be represented"
64,2^6,"(0, 8)"
65,5^1 * 13^1,"(1, 8)"
66,2^1 * 3^1 * 11^1,"Cannot be represented"
67,67^1,"Cannot be represented"
68,2^2 * 17^1,"(8, 2)"
69,3^1 * 23^1,"Cannot be represented"
70,2^1 * 5^1 * 7^1,"Cannot be represented"
71,71^1,"Cannot be represented"
72,2^3 * 3^2,"(6, 6)"
73,73^1,"(8, 3)"
74,2^1 * 37^1,"(7, 5)"
75,3^1 * 5^2,"Cannot be represented"
76,2^2 * 19^1,"Cannot be represented"
77,7^1 * 11^1,"Cannot be represented"
78,2^1 * 3^1 * 13^1,"Cannot be represented"
79,79^1,"Cannot be represented"
80,2^4 * 5^1,"(8, 4)"
81,3^4,"(0, 9)"
82,2^1 * 41^1,"(1, 9)"
83,83^1,"Cannot be represented"
84,2^2 * 3^1 * 7^1,"Cannot be represented"
85,5^1 * 17^1,"(2, 9)"
86,2^1 * 43^1,"Cannot be represented"
87,3^1 * 29^1,"Cannot be represented"
88,2^3 * 11^1,"Cannot be represented"
89,89^1,"(8, 5)"
90,2^1 * 3^2 * 5^1,"(3, 9)"
91,7^1 * 13^1,"Cannot be represented"
92,2^2 * 23^1,"Cannot be represented"
93,3^1 * 31^1,"Cannot be represented"
94,2^1 * 47^1,"Cannot be represented"
95,5^1 * 19^1,"Cannot be represented"
96,2^5 * 3^1,"Cannot be represented"
97,97^1,"(4, 9)"
98,2^1 * 7^2,"(7, 7)"
99,3^2 * 11^1,"Cannot be represented"
100,2^2 * 5^2,"(0, 10)"
101,101^1,"(1, 10)"
102,2^1 * 3^1 * 17^1,"Cannot be represented"
103,103^1,"Cannot be represented"
104,2^3 * 13^1,"(2, 10)"
105,3^1 * 5^1 * 7^1,"Cannot be represented"
106,2^1 * 53^1,"(9, 5)"
107,107^1,"Cannot be represented"
108,2^2 * 3^3,"Cannot be represented"
109,109^1,"(10, 3)"
110,2^1 * 5^1 * 11^1,"Cannot be represented"
111,3^1 * 37^1,"Cannot be represented"
112,2^4 * 7^1,"Cannot be represented"
113,113^1,"(8, 7)"
114,2^1 * 3^1 * 19^1,"Cannot be represented"
115,5^1 * 23^1,"Cannot be represented"
116,2^2 * 29^1,"(10, 4)"
117,3^2 * 13^1,"(6, 9)"
118,2^1 * 59^1,"Cannot be represented"
119,7^1 * 17^1,"Cannot be represented"
120,2^3 * 3^1 * 5^1,"Cannot be represented"
121,11^2,"(0, 11)"
122,2^1 * 61^1,"(1, 11)"
